[2019-03-12 16:35:30,102[history_data] INFO: code=000042.SZ
[2019-03-12 16:35:30,495[history_data] INFO: code=000043.SZ
[2019-03-12 16:35:30,830[history_data] INFO: code=000045.SZ
[2019-03-12 16:35:31,170[history_data] INFO: code=000046.SZ
[2019-03-12 16:35:31,535[history_data] INFO: code=000048.SZ
[2019-03-12 16:35:31,878[history_data] INFO: code=000049.SZ
[2019-03-12 16:35:32,203[history_data] INFO: code=000050.SZ
[2019-03-12 16:35:32,628[history_data] INFO: code=000055.SZ
[2019-03-12 16:35:32,976[history_data] INFO: code=000056.SZ
[2019-03-12 16:35:33,304[history_data] INFO: code=000058.SZ
[2019-03-12 16:35:33,773[history_data] INFO: code=000059.SZ
[2019-03-12 16:35:34,110[history_data] INFO: code=000060.SZ
[2019-03-12 16:35:34,467[history_data] INFO: code=000061.SZ
[2019-03-12 16:35:34,854[history_data] INFO: code=000062.SZ
[2019-03-12 16:35:35,534[history_data] INFO: code=000063.SZ
[2019-03-12 16:35:35,891[history_data] INFO: code=000065.SZ
[2019-03-12 16:35:36,367[history_data] INFO: code=000066.SZ
[2019-03-12 16:35:36,682[history_data] INFO: code=000068.SZ
[2019-03-12 16:35:37,058[history_data] INFO: code=000069.SZ
[2019-03-12 16:35:37,376[history_data] INFO: code=000070.SZ
[2019-03-12 16:35:37,717[history_data] INFO: code=000078.SZ
[2019-03-12 16:35:38,058[history_data] INFO: code=000088.SZ
[2019-03-12 16:35:38,413[history_data] INFO: code=000089.SZ
[2019-03-12 16:35:38,768[history_data] INFO: code=000090.SZ
[2019-03-12 16:35:39,113[history_data] INFO: code=000096.SZ
[2019-03-12 16:35:39,461[history_data] INFO: code=000099.SZ
[2019-03-12 16:35:39,780[history_data] INFO: code=000100.SZ
[2019-03-12 16:35:40,117[history_data] INFO: code=000150.SZ
[2019-03-12 16:35:40,467[history_data] INFO: code=000151.SZ
[2019-03-12 16:35:40,820[history_data] INFO: code=000153.SZ
[2019-03-12 16:35:41,179[history_data] INFO: code=000155.SZ
[2019-03-12 16:35:41,565[history_data] INFO: code=000156.SZ
[2019-03-12 16:35:41,914[history_data] INFO: code=000157.SZ
[2019-03-12 16:35:42,224[history_data] INFO: code=000158.SZ
[2019-03-12 16:35:42,559[history_data] INFO: code=000159.SZ
[2019-03-12 16:35:42,939[history_data] INFO: code=000166.SZ
[2019-03-12 16:35:43,254[history_data] INFO: code=000301.SZ
[2019-03-12 16:35:43,627[history_data] INFO: code=000333.SZ
[2019-03-12 16:35:44,306[history_data] INFO: code=000338.SZ
[2019-03-12 16:35:44,652[history_data] INFO: code=000400.SZ
[2019-03-12 16:35:45,001[history_data] INFO: code=000401.SZ
